as,boring,0.17525,0.29997,0.18332,0.1,0.050008,0.13333,0.083336,0.050008,0.016681,0.066672,0.016681,0.20455,0.088107,0.10058,0.092883,0.10221,0.084758,0.088288,0.082283,0.059074,0.097265
most,menacing,0.075827,0.021748,0.021748,0.010879,0.043484,0.032616,0.043484,0.11956,0.22825,0.07609,0.40214,0.017924,0.011371,0.017155,0.021304,0.04039,0.067912,0.13454,0.21832,0.17717,0.29391
very,awkward,0.03062,0.13805,0.067341,0.090909,0.067341,0.13131,0.10101,0.11111,0.11448,0.10774,0.070708,0.099793,0.056091,0.073801,0.081041,0.10699,0.11918,0.13723,0.12804,0.084056,0.11379
strangely,compelling,0.12331,0.011374,0.011374,0.045461,0.056823,0.056823,0.14772,0.26135,0.19317,0.09091,0.125,0.014744,0.011126,0.018276,0.024843,0.050258,0.087098,0.16521,0.23458,0.16725,0.22662
as,simple,0.011226,0.085366,0.047562,0.047562,0.035367,0.050001,0.064635,0.12195,0.17561,0.14024,0.23171,0.088091,0.037724,0.049242,0.049885,0.065375,0.08567,0.12557,0.15438,0.12338,0.22067
incredibly,dull,0.024108,0.30036,0.13187,0.14286,0.13187,0.10256,0.065935,0.05861,0.040295,0.0036665,0.021981,0.23977,0.12314,0.14262,0.13829,0.13233,0.084668,0.057047,0.035624,0.019781,0.026727
somewhat,enjoyable,0.040073,0.085715,0.0449,0.065308,0.11429,0.21632,0.23673,0.11429,0.085715,0.012248,0.024493,0.076696,0.067739,0.10525,0.11326,0.16654,0.20467,0.15624,0.057321,0.026667,0.025623
so,disappointing,0.014807,0.22911,0.12938,0.10512,0.12129,0.14016,0.09434,0.061996,0.051214,0.01887,0.048519,0.24855,0.11218,0.12156,0.11464,0.10897,0.079972,0.069247,0.05355,0.036777,0.054551
more,heroic,0.08431,0.013901,0.055562,0.069449,0.069449,0.069449,0.069449,0.13888,0.26387,0.097223,0.15277,0.07156,0.036921,0.049096,0.053199,0.074068,0.098771,0.14081,0.16135,0.12354,0.19069
most,violent,0.0040743,0.047827,0.022827,0.025001,0.032609,0.04674,0.071739,0.12283,0.175,0.1413,0.31413,0.038122,0.01856,0.026812,0.028626,0.043204,0.065665,0.11623,0.17835,0.16228,0.32215
