8,really,knowing
5,nearly,identical
3,amazingly,dull
7,not,bad
8,especially,great
10,utterly,charming
10,truly,historic
10,truly,great
8,early,western
9,incredibly,cool
9,strongly,inspired
10,endlessly,entertaining
8,early,special
6,historically,interesting
9,crudely,made
2,illegitimately,staged
6,completely,ridiculous
6,early,slapstick
7,largely,forgotten
6,strangely,compelling
7,historically,interesting
8,early,silent
8,nicely,filmed
6,early,short
6,not,bad
8,really,good
6,potentially,interesting
9,historically,interesting
10,truly,enchanting
9,easily,one
7,only,13
10,simply,marvelous
10,technically,outstanding
7,surprisingly,enough
2,historically,interesting
5,highly,mannered
8,early,western
8,early,western
3,early,one
10,completely,spellbinding
8,early,effective
7,fairly,typical
7,not,bad
10,astonishingly,good
5,reasonably,entertaining
5,especially,good
8,awfully,simple
7,historically,important
6,early,silent
10,exquisitely,haunting
5,not,very
10,early,epic
10,beautifully,filmed
7,early,silent
1,not,worth
3,not,good
7,tremendously,influential
8,early,epic
3,not,very
6,enjoyably,hammy
4,fatally,unfunny
3,clearly,one
2,simply,awful
7,strangely,sensual
6,oddly,enjoyable
7,not,great
10,never,heard
7,technically,brilliant
5,fairly,average
6,early,silent
6,awfully,cute
1,not,worth
7,not,bad
8,nearly,100
6,practically,no
7,early,silent
3,not,total
4,historically,important
4,historically,important
3,not,very
6,early,silent
6,generally,stupid
7,really,good
5,unbearably,painful
9,surprisingly,good
1,skillfully,executed
1,absolutely,appalling
10,politically,correct
1,skillfully,executed
3,only,in
8,technically,brilliant
9,definitely,one
7,apparently,poorly
5,technically,well
7,early,silent
3,hardly,comparable
5,extremely,derivative
5,deeply,weird
8,early,silent
3,not,all
10,never,heard
7,technically,brilliant
6,early,full
10,deeply,moving
7,not,great
4,partly,amusing
6,genuinely,botched
7,hardly,any
5,genuinely,funny
5,especially,memorable
8,startlingly,fresh
6,generally,very
9,early,short
5,not,funny
8,not,out
5,ultimately,forgettable
8,fully,in
6,mildly,funny
7,not,faithful
10,truly,perfect
4,ultimately,boring
7,not,exceptional
7,remarkably,less
6,not,great
10,visually,wonderful
9,unfortunately,timeless
10,truly,great
9,undeniably,important
3,particularly,inspired
8,absolutely,wacky
7,probably,one
8,visually,lovely
10,definitely,one
9,deceptively,dark
6,deeply,dysfunctional
7,expertly,directed
6,not,coherent
5,mildly,interesting
4,really,big
2,only,70
7,previously,lost
9,visually,striking
5,only,in
6,nicely,mounted
10,absolutely,superb
5,especially,memorable
9,amazingly,frank
10,highly,entertaining
7,visually,extravagant
6,absolutely,brilliant
8,amazingly,simple
8,only,d
8,visually,lovely
6,artistically,beautiful
9,surprisingly,cute
9,massively,influential
6,early,tod
7,technically,brilliant
9,wonderfully,funny
9,visually,stunning
7,spectacularly,good
7,highly,imaginative
3,really,good
7,unexpectedly,interesting
8,highly,effective
9,early,epic
9,not,better
8,highly,entertaining
10,wonderfully,sensitive
6,unfortunately,lost
8,surprisingly,funny
8,exceedingly,melodramatic
3,not,funny
5,awfully,silly
4,historically,important
4,technically,well
9,not,one
9,highly,appealing
7,beautifully,understated
6,not,one
7,not,lost
4,mildly,funny
7,highly,influential
8,technically,astounding
9,absolutely,beautiful
4,amazingly,dull
10,endearingly,bizarre
7,surprisingly,enjoyable
6,charmingly,old
9,historically,compelling
9,highly,moral
8,not,great
10,early,direct
10,truly,original
10,visually,harrowing
9,truly,scary
10,genuinely,creepy
8,not,more
9,undeniably,great
6,truly,scary
9,utterly,horrifying
5,visually,interesting
10,totally,invaluable
9,simply,fantastic
8,truly,terrifying
9,really,good
8,extremely,well
9,actually,like
7,fairly,amusing
6,not,threatened
4,historically,important
8,historically,speaking
10,finally,seeing
7,unbelievably,long
9,only,better
9,surprisingly,easy
9,not,one
9,not,light
5,cruelly,deformed
10,uncommonly,emotional
9,mostly,bright
4,mildly,interesting
10,beautifully,made
8,consistently,amusing
10,bitingly,good
8,not,up
6,relatively,pedestrian
6,not,bad
7,early,epic
5,mildly,amusing
8,beautifully,directed
10,successfully,experimental
8,finally,seeing
10,not,mock
7,not,great
7,early,western
8,tragically,prescient
8,surprisingly,sensitive
8,unjustly,unknown
8,early,gay
8,early,gay
9,flawlessly,executed
6,not,great
9,amazingly,inventive
10,really,all
10,intensely,poetic
10,flawlessly,beautiful
10,only,three
6,surprisingly,enjoyable
9,extremely,funny
10,perfectly,timed
7,highly,enjoyable
8,not,done
9,early,abstract
8,infinitely,superior
8,infinitely,superior
9,early,animated
9,beautifully,animated
7,early,full
7,highly,amusing
7,not,accurate
10,completely,stunning
1,only,redeeming
9,technically,brilliant
10,truly,grand
10,truly,remarkable
5,excessively,slow
7,really,good
7,really,good
8,awfully,entertaining
5,mainly,interesting
10,simply,superb
10,hilariously,captivating
7,not,great
9,beautifully,well
10,beautifully,directed
10,ultimately,heartbreaking
7,historically,entertaining
7,surprisingly,good
7,severely,truncated
5,only,half
6,hopelessly,dated
6,only,in
10,only,one
9,not,just
10,unbelievably,funny
7,only,ten
6,early,western
9,simply,magnificent
7,amazingly,silly
8,consistently,good
8,not,bad
10,surprisingly,wonderful
8,not,many
4,early,two
7,wonderfully,acrobatic
10,truly,brilliant
9,politically,correct
8,sadly,forgotten
10,visually,stunning
9,visually,amazing
10,devilishly,clever
9,especially,close
6,visually,stunning
10,fully,clothed
4,instantly,forgettable
6,not,excellent
7,moderately,gripping
9,only,made
10,visually,expressive
7,highly,enjoyable
8,highly,influential
10,truly,astounding
10,absolutely,stunning
10,visually,stunning
10,absolutely,amazing
9,visually,compelling
10,simply,one
10,politically,dodgy
7,imaginatively,staged
7,slightly,outdated
10,incredibly,bleak
9,visually,groundbreaking
10,only,bad
10,positively,incredible
8,essentially,long
7,ruthlessly,slashed
6,only,one
1,really,boring
10,politically,charged
10,not,friendly
7,slightly,dull
10,early,sound
6,not,great
9,visually,stunning
10,sadly,neglected
5,not,one
8,extremely,realistic
7,simply,luminous
4,not,great
7,sadly,incomplete
10,highly,enjoyable
6,hardly,essential
5,not,notable
9,surprisingly,sensitive
8,highly,entertaining
4,truly,bizarre
5,not,much
9,easily,in
5,amazingly,dull
9,early,downright
8,only,in
5,technically,interesting
6,not,up
8,genuinely,offbeat
10,richly,inventive
10,perfectly,balanced
4,really,funny
10,generally,wonderful
10,only,in
10,completely,sweet
5,terribly,dated
9,equally,important
8,historically,significant
3,not,entertaining
5,awfully,boring
7,simply,wonderful
8,visually,stunning
6,not,all
10,absolutely,marvelous
8,definitely,worth
10,painstakingly,meticulous
6,historically,incorrect
6,grandly,made
9,unbelievably,detailed
8,astonishingly,powerful
7,overly,melodramatic
7,probably,played
10,simply,one
9,remarkably,satisfying
8,early,silent
8,early,silent
10,absolutely,perfect
10,visually,stunning
8,truly,great
6,surprisingly,great
7,historically,important
7,only,certain
10,surprisingly,good
9,inimitably,weird
10,simply,superb
6,competently,made
9,surprisingly,good
9,visually,stunning
9,early,on
10,painfully,empty
4,totally,innocent
10,early,cinematic
10,magically,mesmerizing
10,emotionally,beautiful
6,completely,average
8,wonderfully,nightmarish
7,early,knockabout
10,incredibly,beautiful
5,moderately,effective
8,really,cool
9,highly,interesting
10,practically,flat
6,greatly,loved
7,often,sad
6,not,great
4,vaguely,incestuous
6,uniquely,bizarre
8,politically,correct
7,truly,original
8,politically,incorrect
9,wildly,funny
10,sublimely,human
10,simply,devastating
9,beautifully,shot
10,extraordinarily,moving
10,profoundly,faithful
10,only,silent
9,extremely,good
10,not,even
10,absolutely,stunning
10,indelibly,seared
8,visually,striking
5,overly,talky
9,simply,marvelous
6,disappointingly,simple
6,highly,enjoyable
10,virtually,unknown
7,wonderfully,executed
8,really,silent
7,amazingly,familiar
5,sadly,dated
9,surprisingly,affecting
7,weirdly,fascinating
9,beautifully,entertaining
10,nearly,perfect
9,nearly,perfect
9,surprisingly,good
6,intentionally,strange
9,early,sound
9,early,sound
10,beautifully,filmed
10,unbelievably,sexy
2,barely,afloat
3,early,titanic
2,early,sound
3,fairly,lame
6,not,all
5,early,sound
6,early,sound
8,only,surviving
7,definitely,interesting
4,utterly,unbelievable
5,partly,atrocious
9,only,one
7,especially,well
9,beautifully,shot
2,early,sound
4,particularly,good
10,actually,first
8,ironically,titled
10,stunningly,modern
9,strangely,compulsive
3,early,sound
10,woefully,neglected
4,historically,important
