as,boring,0.12344,0.29997,0.18332,0.1,0.050008,0.13333,0.083336,0.050008,0.016681,0.066672,0.016681,0.22449,0.10245,0.11294,0.10418,0.10542,0.089289,0.079772,0.067032,0.047269,0.06715
most,menacing,0.095283,0.021748,0.021748,0.010879,0.043484,0.032616,0.043484,0.11956,0.22825,0.07609,0.40214,0.014919,0.0089788,0.012653,0.018312,0.033779,0.062403,0.13538,0.22602,0.20001,0.28754
very,awkward,0.025697,0.13805,0.067341,0.090909,0.067341,0.13131,0.10101,0.11111,0.11448,0.10774,0.070708,0.12941,0.072553,0.090115,0.099896,0.1186,0.1202,0.11423,0.09727,0.064011,0.093724
strangely,compelling,0.066738,0.011374,0.011374,0.045461,0.056823,0.056823,0.14772,0.26135,0.19317,0.09091,0.125,0.011137,0.0095773,0.015712,0.026128,0.053394,0.11256,0.21556,0.22923,0.14918,0.17752
as,simple,0.011669,0.085366,0.047562,0.047562,0.035367,0.050001,0.064635,0.12195,0.17561,0.14024,0.23171,0.08178,0.037587,0.04769,0.050252,0.066419,0.086455,0.13104,0.15985,0.13003,0.20889
incredibly,dull,0.025417,0.30036,0.13187,0.14286,0.13187,0.10256,0.065935,0.05861,0.040295,0.0036665,0.021981,0.24425,0.12721,0.14113,0.13445,0.13106,0.08789,0.051354,0.033601,0.021291,0.027763
somewhat,enjoyable,0.35507,0.085715,0.0449,0.065308,0.11429,0.21632,0.23673,0.11429,0.085715,0.012248,0.024493,0.027613,0.020443,0.03124,0.049754,0.093221,0.15404,0.21095,0.19726,0.10806,0.10742
so,disappointing,0.012248,0.22911,0.12938,0.10512,0.12129,0.14016,0.09434,0.061996,0.051214,0.01887,0.048519,0.25745,0.11934,0.13203,0.12869,0.1185,0.085967,0.057228,0.038739,0.025583,0.03647
more,heroic,0.087259,0.013901,0.055562,0.069449,0.069449,0.069449,0.069449,0.13888,0.26387,0.097223,0.15277,0.072625,0.036993,0.047467,0.051168,0.069641,0.094009,0.1372,0.16273,0.12854,0.19963
most,violent,0.0062209,0.047827,0.022827,0.025001,0.032609,0.04674,0.071739,0.12283,0.175,0.1413,0.31413,0.062464,0.025627,0.0315,0.035407,0.049933,0.071448,0.1261,0.172,0.15166,0.27387
physically,painful,0.14849,0.63784,0.068971,0.034494,0.068971,0.017256,0.051732,0.034494,0.051732,0.017256,0.017256,0.41447,0.1029,0.096633,0.060464,0.053195,0.045287,0.054462,0.054664,0.044128,0.073799
not,blind,0.028864,0.125,0.015638,0.046883,0.062506,0.062506,0.062506,0.15624,0.14062,0.14062,0.18749,0.10755,0.040705,0.042807,0.04703,0.066008,0.081359,0.12041,0.14029,0.11749,0.23635
truly,original,0.035869,0.029662,0.019775,0.01695,0.029662,0.05791,0.056498,0.088983,0.15819,0.16384,0.37853,0.025657,0.014676,0.01991,0.027451,0.046328,0.071938,0.12913,0.20198,0.18823,0.27471
very,elegant,0.18206,1.2657e-05,1.2657e-05,0.012669,0.037983,0.012669,0.075952,0.15189,0.25315,0.10127,0.3544,0.055838,0.028811,0.037218,0.044437,0.063728,0.090463,0.14172,0.17321,0.14018,0.22439
pretty,disturbing,0.031204,0.045458,0.01705,0.011369,0.039776,0.045458,0.10227,0.19886,0.25567,0.13636,0.14772,0.05979,0.026897,0.04057,0.039546,0.052543,0.082425,0.16558,0.21229,0.14574,0.17463
there,other,0.16417,0.11764,0.09804,0.058832,0.019624,0.13725,0.078436,0.13725,0.058832,0.09804,0.19606,0.071195,0.032163,0.042204,0.043436,0.057001,0.078576,0.11842,0.15457,0.14137,0.26107
surprisingly,great,0.12261,4.3858e-06,0.0087759,0.013162,0.021933,0.0087759,0.043862,0.15789,0.32017,0.21052,0.21491,0.017235,0.013248,0.020909,0.03592,0.060044,0.09875,0.17346,0.1881,0.16213,0.2302
